SampleID.x	X1	Moisture	SoilpH	WDRFBuffer	SolubleSalt	OrganicMatter	CO2C	TotalN	OrganicN	TotalOrganicC	Nitrate	Ammonium	InorganicNitrogen	TotalPhosphorus	InorganicPhosphorus	OrganicPhosphorus	Potassium	Calcium	Aluminum	Iron	Sulfur	Zinc	Manganese	Copper	Magnesium	Sodium	MAC	OrganicCN	OrganicNInorganicN	OrganicNRelease	OrganicNReserve	OrganicPRelease	OrganicPReserve	SoilHealthCalculation	AvailableN	AvailableP	AvailableK	pcoa1	pcoa2	SampleID.y	Treatment	Plot	SubPlot	Depth	Date	Burn	Disturbance	richness	virome
2B4BS	USV12	22.52339355	5.4	5.9	0.06	28.2	198	6	3.7	94	0.8	2.7	3.6	2	0.7	1.6	59	607	207	59	2.5	0.61	26.4	0.11	67	13	210.9	25.5	1	3.7	0	1.6	0	18.75	4.4	5.3	71.3	0.181569748	-0.032776216	2B4BS	Burn	B4	B4B	0-3cm	4/5/2021	Before	no	2830	yes
2U1AD	UDV7	36.74519348	5.5	5.9	0.05	16.1	318	10.1	6.6	119	3.8	3.9	7.6	2	0.5	1.6	112	532	499	65	3.2	0.28	13.8	0.13	73	16	267.7	18	0.9	6.6	0	1.6	0	22.91	4.3	4.6	134.5	0.084262957	0.392133256	2U1AD	Control	U1	U1A	3-6cm	4/5/2021	Before	no	3123	yes
2U1AS	USV7	77.68429259	5.2	5.6	0.05	29.9	177	13.1	11.2	196	0.7	11	11.7	3	1.5	1.1	126	589	344	62	4.1	0.55	21.2	0.12	81	13	90.5	17.4	1	11.2	0	1.1	0	19.79	13.7	5.8	151.1	0.021171718	0.368190463	2U1AS	Control	U1	U1A	0-3cm	4/5/2021	Before	no	3850	yes
2U1BD	UDV8	20.09462654	5.5	5.9	0.05	16.1	318	10.1	6.6	119	3.8	3.9	7.6	2	0.5	1.6	112	532	499	65	3.2	0.28	13.8	0.13	73	16	267.7	18	0.9	6.6	0	1.6	0	22.91	4.3	4.6	134.5	0.074944477	0.161802356	2U1BD	Control	U1	U1B	3-6cm	4/5/2021	Before	no	1544	yes
2U1BS	USV8	40.2406784	5.2	5.6	0.05	29.9	177	13.1	11.2	196	0.7	11	11.7	3	1.5	1.1	126	589	344	62	4.1	0.55	21.2	0.12	81	13	90.5	17.4	1	11.2	0	1.1	0	19.79	13.7	5.8	151.1	-0.002376254	0.126814684	2U1BS	Control	U1	U1B	0-3cm	4/5/2021	Before	no	1682	yes
2U2AD	UDV9	70.3757872	5.9	6.3	0.04	13.4	254	7.9	5.7	88	1.5	2.6	4	1	0.3	1	58	609	349	39	2.4	0.22	9	0.1	51	13	288.3	15.4	1.4	5.7	0	1	0	20.48	2.9	3	69.4	0.066750863	0.07147376	2U2AD	Control	U2	U2A	3-6cm	4/5/2021	Before	no	2641	yes
2U2AS	USV9	64.91523432	5.3	5.9	0.06	34.2	198	11.7	8.5	163	1.8	7.2	9	5	2.9	2.3	69	672	240	51	6.3	0.79	23.5	0.1	80	12	121.5	19.1	1	8.5	0	2.3	0	20.61	10.5	12	83.4	-0.018259916	0.076837777	2U2AS	Control	U2	U2A	0-3cm	4/5/2021	Before	no	3362	yes
2U2BD	UDV10	37.57656698	5.9	6.3	0.04	13.4	254	7.9	5.7	88	1.5	2.6	4	1	0.3	1	58	609	349	39	2.4	0.22	9	0.1	51	13	288.3	15.4	1.4	5.7	0	1	0	20.48	2.9	3	69.4	0.094095583	-0.086659825	2U2BD	Control	U2	U2B	3-6cm	4/5/2021	Before	no	2739	yes
2U2BS	USV10	34.89493407	5.3	5.9	0.06	34.2	198	11.7	8.5	163	1.8	7.2	9	5	2.9	2.3	69	672	240	51	6.3	0.79	23.5	0.1	80	12	121.5	19.1	1	8.5	0	2.3	0	20.61	10.5	12	83.4	0.100339607	-0.079823712	2U2BS	Control	U2	U2B	0-3cm	4/5/2021	Before	no	3171	yes
3B1AD	BDV13	30.69830753	4.8	5.4	0.04	33.1	840	5.5	3	107	0.1	1.8	1.9	3	1.3	2.1	43	425	155	53	1.7	1.02	17.4	0.14	79	14	785.4	35.5	1.6	3	0	2.1	0	44.44	1.5	7.8	51.9	-0.389581696	-0.028800649	3B1AD	Burn	B1	B1A	3-6cm	4/18/2021	Before	no	3547	yes
3B1AS	BSV13	51.54267955	4.8	5.6	0.05	86.4	554	5.3	3	59	0	4.5	4.5	4	1.8	2.4	37	354	31	14	1.2	1.77	37.8	0.2	77	12	932.5	19.7	0.7	3	0	2.4	0	29.19	2.3	9.5	44.7	-0.364244613	-0.045136579	3B1AS	Burn	B1	B1A	0-3cm	4/18/2021	Before	no	3164	yes
3B1BD	BDV14	32.22081663	4.7	5.2	0.08	32.9	842	7.4	4.8	161	0.1	2.2	2.3	4	1.3	2.3	72	437	273	71	3	0.74	11.7	0.14	81	14	523.8	33.7	2.1	4.8	0	2.3	0	45.79	2.1	8.5	86.4	-0.275465138	0.005301241	3B1BD	Burn	B1	B1B	3-6cm	4/18/2021	Before	no	2995	yes
3B1BS	BSV14	40.30914802	4.6	5.3	0.05	67	924	6.8	4.1	121	0.1	4.5	4.6	3	1.2	1.6	41	409	70	30	1.3	1.64	29.1	0.14	88	15	763.3	29.8	0.9	4.1	0	1.6	0	49.03	2.6	6.4	49	-0.342254755	-0.036695324	3B1BS	Burn	B1	B1B	0-3cm	4/18/2021	Before	no	3573	yes
3B2AD	BDV15	46.50888867	5.8	5.9	0.06	10.9	314	6.8	3	120	0.3	1.8	2.1	2	0.5	1.6	60	504	363	55	2.7	0.19	9	0.18	73	17	262	40.1	1.5	3	0	1.6	0	22.32	1.5	4.8	72	0.085982901	-0.046693161	3B2AD	Burn	B2	B2A	3-6cm	4/18/2021	Before	no	2178	yes
3B2AS	BSV15	69.67775172	5.7	5.9	0.06	12.8	297	4.9	2.5	90	0.3	2.2	2.5	2	0.3	2.1	77	492	331	49	2.2	0.37	9.7	0.18	84	16	329.1	36.8	1	2.5	0	2.1	0	23.26	1.5	5.4	92.7	0.061917638	-0.055479354	3B2AS	Burn	B2	B2A	0-3cm	4/18/2021	Before	no	2512	yes
3B2BD	BDV16	52.50990879	5.4	5.7	0.06	23	780	22.3	18.4	264	0.2	2.9	3.1	3	1	2.2	69	516	243	57	3	0.97	21.4	0.08	93	17	295.1	14.4	6	18.4	0	2.2	0	46.12	6.4	7.4	82.8	-0.083760686	-0.026282244	3B2BD	Burn	B2	B2B	3-6cm	4/18/2021	Before	no	4358	yes
