SampleID.x	X1	Moisture	SoilpH	WDRFBuffer	SolubleSalt	OrganicMatter	CO2C	TotalN	OrganicN	TotalOrganicC	Nitrate	Ammonium	InorganicNitrogen	TotalPhosphorus	InorganicPhosphorus	OrganicPhosphorus	Potassium	Calcium	Aluminum	Iron	Sulfur	Zinc	Manganese	Copper	Magnesium	Sodium	MAC	OrganicCN	OrganicNInorganicN	OrganicNRelease	OrganicNReserve	OrganicPRelease	OrganicPReserve	SoilHealthCalculation	AvailableN	AvailableP	AvailableK	pcoa1	pcoa2	SampleID.y	Treatment	Plot	SubPlot	Depth	Date	Burn	Disturbance	richness	virome
4U1BS	USV20	34.55303077	6.2	6.3	0.09	10.2	532	16.4	11.2	183	1.1	1.8	2.9	3	0.9	2.1	90	629	376	46	3.1	0.3	16	0.32	91	11	290.2	16.4	3.9	11.2	0	2.1	0	31.38	4.2	6.9	107.7	0.086450846	0.073548103	4U1BS	Control	U1	U1B	0-3cm	4/27/2021	After	no	2169	yes
4U2AD	UDV21	48.24012049	5.8	5.8	0.08	21.1	906	21	16.6	207	1	3.4	4.3	3	0.8	2.2	90	692	434	63	4.5	0.5	16.9	0.12	85	11	438.3	12.4	3.8	16.6	0	2.2	0	51.1	6.3	6.9	107.7	0.110152051	-0.012678585	4U2AD	Control	U2	U2A	3-6cm	4/27/2021	After	no	3623	yes
4U2AS	USV21	62.13842974	5.6	5.8	0.08	51.9	856	13.8	9.1	129	0.6	9.3	9.9	3	1.6	1.7	71	578	188	37	2.8	1.48	32.9	0.19	83	11	661.9	14.2	0.9	9.1	0	1.7	0	46.3	5.7	7.6	85.4	0.109459027	-0.028519183	4U2AS	Control	U2	U2A	0-3cm	4/27/2021	After	no	3707	yes
4U2BD	UDV22	58.23467157	5.4	5.6	0.03	39.1	1136	10.4	7.1	134	0.7	4.4	5.1	3	1.1	1.5	48	681	181	41	2.7	0.57	20.6	0.11	82	13	849.5	18.9	1.4	7.1	0	1.5	0	60.18	3.7	6	57.5	-0.014008528	0.029480585	4U2BD	Control	U2	U2B	3-6cm	4/27/2021	After	no	3710	yes
4U2BS	USV22	159.2480298	5.3	5.8	0.03	79.1	1904	9.4	6.3	115	0.5	5.6	6.1	3	1.7	1.3	49	548	74	30	2.5	1.28	43.1	0.15	85	13	1652.4	18.2	1	6.3	0	1.3	0	98.14	3.7	6.9	58.5	6.68E-06	-0.001744995	4U2BS	Control	U2	U2B	0-3cm	4/27/2021	After	no	3959	yes
5B1AD	BDV25	3.937626759	6.7	7.2	0.61	7.3	494	52.8	27.8	458	0.9	43.8	44.6	40	30.2	9.8	104	882	390	97	107.3	4.45	75.4	0.29	134	15	108	16.5	0.6	27.8	0	9.8	0	39.37	21.7	91.9	141.2	NA	NA	5B1AD	Burn	B1	B1A	3-6cm	5/8/2021	After	yes	NA	no
5B1AS	BSV25	2.170494398	7.3	7.2	1.72	8.7	756	82.8	40.3	462	1.5	77.2	78.7	115	105.2	9.5	252	2620	248	64	515.8	5.24	84.4	0.25	433	14	163.8	11.5	0.5	40.3	0	9.5	0	51.06	35.7	263.8	321.1	NA	NA	5B1AS	Burn	B1	B1A	0-3cm	5/8/2021	After	yes	NA	no
5B1BD	BDV26	74.96936359	4.8	5.4	0.08	78.3	1024	10.5	8	126	0.2	8.2	8.4	8	4.5	3.4	58	418	77	39	7.8	2.18	37.7	0.17	86	13	814.8	15.6	1	8	0	3.4	0	54.52	4.9	18.2	58.7	-0.295091109	-0.018784304	5B1BD	Burn	B1	B1B	3-6cm	5/8/2021	After	yes	2794	yes
5B1BS	BSV26	108.8436153	5.3	5.7	0.1	84.1	1092	21	15	161	0.2	12.6	12.8	15	9.7	5.5	80	431	75	31	15.3	3.26	57.7	0.21	115	13	680.1	10.7	1.2	15	0	5.5	0	59.31	8.3	35.1	65.4	-0.345789278	-0.035205094	5B1BS	Burn	B1	B1B	0-3cm	5/8/2021	After	yes	3207	yes
5B2AD	BDV27	9.317608281	7	7.2	0.35	12.3	301	42.6	15.6	245	0.9	50.8	51.6	6	3.8	2.1	114	756	393	62	46.7	0.79	64.1	0.34	73	13	122.9	15.7	0.3	15.6	0	2.1	0	25.27	20.2	13.6	155.6	NA	NA	5B2AD	Burn	B2	B2A	3-6cm	5/8/2021	After	yes	NA	no
5B2AS	BSV27	3.748374668	7.4	7.2	0.97	8.8	392	77	35.6	581	1.3	75.5	76.8	15	11	4.1	158	1808	331	76	205.9	0.93	102.8	0.29	166	12	67.5	16.3	0.5	35.6	0	4.1	0	39.68	33.7	34.8	204.6	NA	NA	5B2AS	Burn	B2	B2A	0-3cm	5/8/2021	After	yes	NA	no
5B2BD	BDV28	20.10603088	7.2	7.2	0.24	13.1	184	36.5	17.8	176	1.6	38	39.5	5	2.8	2.3	101	966	306	55	26.1	0.39	29.5	0.24	92	13	104.7	9.9	0.5	17.8	0	2.3	0	20.63	17.2	11.7	139.6	0.069236806	-0.136804248	5B2BD	Burn	B2	B2B	3-6cm	5/8/2021	After	yes	665	yes
5B2BS	BSV28	9.647363905	7.2	7.2	0.59	17.9	538	103.5	44.5	474	1.8	89.2	90.9	11	7.4	4	126	1127	274	55	104.8	0.61	92.2	0.2	134	14	113.5	10.7	0.5	44.5	0	4	0	40.83	40.6	26.1	164.4	0.030868687	-0.054595054	5B2BS	Burn	B2	B2B	0-3cm	5/8/2021	After	yes	148	yes
5B3AD	BDV29	39.17133096	5.8	6	0.09	20.1	274	12.6	5.9	54	5.5	4.5	10	2	0.7	1	46	647	243	47	4.6	0.97	15.1	0.14	76	12	509	9.1	0.6	5.9	0	1	0	21.24	4.8	3.9	51.3	0.085350279	-0.096759054	5B3AD	Burn	B3	B3A	3-6cm	5/8/2021	After	yes	3079	yes
5B3AS	BSV29	27.0340668	5.9	6	0.07	32.6	624	26.1	11.9	156	1.7	20.1	21.7	7	3.8	3.4	57	636	202	51	9.8	1.78	40	0.16	90	12	400.8	13.1	0.5	11.9	0	3.4	0	35.5	10.1	16.5	64.8	0.062299266	-0.093160509	5B3AS	Burn	B3	B3A	0-3cm	5/8/2021	After	yes	2926	yes
5B3BD	BDV30	19.21118917	6.1	6.1	0.06	16.6	666	14.7	8.5	107	2.9	8.9	11.7	2	0.8	1.2	84	431	337	42	4.2	0.43	13.2	0.18	73	13	624.4	12.6	0.7	8.5	0	1.2	0	36.28	6.1	4.7	111.9	0.095411929	-0.086390183	5B3BD	Burn	B3	B3B	3-6cm	5/8/2021	After	yes	1973	yes
5B3BS	BSV30	11.47039877	6	6.1	0.1	22.4	190.4	21.3	14.8	188	0.7	16.6	17.2	7	3.4	3.3	80	504	248	39	8.5	0.86	38.8	0.19	86	11	101.3	12.7	0.9	14.8	0	3.3	0	21.11	9.6	15.5	119.4	0.073834484	-0.074165337	5B3BS	Burn	B3	B3B	0-3cm	5/8/2021	After	yes	795	yes
5B4AD	UDV29	17.9299515	6.7	7.2	0.1	9.5	194	16.9	12.5	167	2	4.1	6.1	2	0.8	1.1	115	657	299	51	4.8	0.33	22.3	0.27	71	13	116.3	13.3	2.1	12.5	0	1.1	0	20.76	5.6	4.3	156.2	0.118138309	-0.192584518	5B4AD	Burn	B4	B4A	3-6cm	5/8/2021	After	yes	1649	yes
5B4AS	USV29	16.71300334	6.8	7.2	0.14	13	390	23.6	11.5	199	0.9	15.8	16.6	3	1.3	1.6	117	743	278	52	8.8	0.54	38.3	0.26	74	15	195.5	17.4	0.7	11.5	0	1.6	0	29.51	8.4	6.7	154.8	0.104949467	-0.160594116	5B4AS	Burn	B4	B4A	0-3cm	5/8/2021	After	yes	1502	yes
5B4BD	UDV30	20.3414169	5.9	6.1	0.1	22.3	450	15.8	13.2	177	0.5	4.6	5.1	2	0.9	1.4	92	548	303	75	5.2	0.52	26.7	0.27	56	14	253.6	13.4	2.6	13.2	0	1.4	0	29.87	5.5	5.1	124.6	0.073744721	-0.011022309	5B4BD	Burn	B4	B4B	3-6cm	5/8/2021	After	yes	1269	yes
5B4BS	USV30	31.06437559	5.8	5.9	0.07	22	552	12.2	8.4	117	0.5	9.2	9.6	2	0.7	1.2	65	552	288	57	4.4	0.76	24	0.2	58	12	470.7	13.9	0.9	8.4	0	1.2	0	30.79	5.4	4.4	76.2	0.142838636	-0.00449627	5B4BS	Burn	B4	B4B	0-3cm	5/8/2021	After	yes	2945	yes
5U1AD	UDV25	29.49963054	5.7	5.9	0.05	20.6	570	11	8.5	94	0.7	4	4.8	2	0.6	1.2	50	398	365	40	3.8	0.58	16	0.15	50	11	606.6	11.1	1.8	8.5	0	1.2	0	31.23	4	4.1	62.8	0.098825672	0.322723306	5U1AD	Control	U1	U1A	3-6cm	5/8/2021	After	no	3314	yes
5U1AS	USV25	58.56797711	5.8	5.9	0.05	34.8	146	16.3	11.8	146	0.4	10	10.3	2	0.8	1.3	46	662	198	33	5.1	0.97	25	0.14	70	12	100.3	12.4	1.1	11.8	0	1.3	0	16.26	6.6	4.9	52.4	0.045470177	0.239948771	5U1AS	Control	U1	U1A	0-3cm	5/8/2021	After	no	3421	yes
5U1BD	UDV26	35.80544874	5.6	5.7	0.06	22.3	638	10.1	8	116	0.6	1.9	2.5	1	0.5	0.8	58	500	338	41	3.4	0.38	9.5	0.16	84	12	547.8	14.6	3.1	8	0	0.8	0	35.03	3.1	3.1	66.1	0.058418805	0.253937463	5U1BD	Control	U1	U1B	3-6cm	5/8/2021	After	no	2783	yes
5U1BS	USV26	47.38776793	5.9	5.9	0.05	38.7	358	10.7	9.1	114	0.4	2.4	2.8	2	0.7	1.2	52	817	201	27	3.8	0.99	16.3	0.1	109	11	313.6	12.5	3.3	9.1	0	1.2	0	25.57	3.6	4.4	54.9	0.014194934	0.112900337	5U1BS	Control	U1	U1B	0-3cm	5/8/2021	After	no	2683	yes
5U2AD	UDV27	68.68957602	5.8	6	0.07	37.6	590	11.2	7.5	115	0.3	2.6	2.9	1	0.6	0.8	79	664	167	33	4.2	1.12	15.4	0.19	80	19	514.5	15.3	2.6	7.5	0	0.8	0	32.54	3.1	3.4	82.6	0.107248475	-0.080396481	5U2AD	Control	U2	U2A	3-6cm	5/8/2021	After	no	4221	yes
5U2AS	USV27	52.27189398	6	6.1	0.07	30	390	8.5	7.4	99	0.3	2.3	2.6	2	0.7	1.2	101	695	217	31	3.4	0.84	12.8	0.17	90	13	392.1	13.4	2.9	7.4	0	1.2	0	27.11	3	4.3	102.7	0.123568853	-0.086115546	5U2AS	Control	U2	U2A	0-3cm	5/8/2021	After	no	3712	yes
5U2BD	UDV28	32.15364962	5.9	5.9	0.08	33.9	680	11.4	13	109	0.5	3	3.5	2	0.7	1	57	812	188	40	3.9	0.67	17.3	0.1	95	12	624.6	8.4	3.7	13	0	1	0	37.47	4.9	4	68.2	0.110164557	-0.065245343	5U2BD	Control	U2	U2B	3-6cm	5/8/2021	After	no	3134	yes
5U2BS	USV28	41.60015127	5.4	5.8	0.06	62	1060	10.9	8.5	120	0.3	3.6	3.9	2	0.5	1	57	636	113	29	3.9	2.06	33.8	0.13	89	14	882.8	14.1	2.2	8.5	0	1	0	56.25	3.7	3.5	49.8	0.044381777	-0.041117279	5U2BS	Control	U2	U2B	0-3cm	5/8/2021	After	no	2339	yes
6B1AD	BDV31	15.93261664	6.8	7.2	0.6	8.6	588	52.1	22	435	1.4	49.9	51.2	70	58.7	10.8	109	1487	339	94	190.4	2.79	118.7	0.22	166	10	135.3	19.8	0.4	22	0	10.8	0	40.29	43.9	160	130.4	NA	NA	6B1AD	Burn	B1	B1A	3-6cm	6/20/2021	After	yes	NA	no
6B1AS	BSV31	9.375154965	7.4	7.2	0.94	8.1	318	60.2	27.1	488	1.4	46.5	47.8	92	84.8	7.3	202	3034	238	57	531.3	1.5	97.5	0.17	351	12	65.1	18.1	0.6	27.1	0	7.3	0	32.35	22.5	212	241.8	NA	NA	6B1AS	Burn	B1	B1A	0-3cm	6/20/2021	After	yes	NA	no
6B1BD	BDV32	10.75680378	6.7	7.2	0.23	7.1	326	23.7	9	217	0.7	17.9	18.6	34	26	7.8	105	942	330	62	55.3	1.51	71	0.19	108	8	150.4	24.1	0.5	9	0	7.8	0	25.61	16.5	77.8	125.6	NA	NA	6B1BD	Burn	B1	B1B	3-6cm	6/20/2021	After	yes	NA	no
6B1BS	BSV32	7.020917812	6.9	7.2	0.51	9.7	772	62.9	25.6	523	1.5	47.9	49.4	112	100.6	11.5	166	1779	268	69	185.1	3.84	173.3	0.18	229	10	147.5	20.4	0.5	25.6	0	11.5	0	51.63	22.5	257.8	198.8	NA	NA	6B1BS	Burn	B1	B1B	0-3cm	6/20/2021	After	yes	NA	no
6B2AD	BDV33	16.12997246	5	5.5	0.05	51.7	680	17.2	8.2	182	0.5	14.8	15.3	15	9.6	5.2	93	513	153	45	8.4	2.08	19	0.12	115	12	374.3	22.2	0.5	8.2	0	5.2	0	38.45	14.1	34.2	111	NA	NA	6B2AD	Burn	B2	B2A	3-6cm	6/20/2021	After	yes	NA	no
6B2AS	BSV33	12.80526543	5.7	5.7	0.1	55.3	2276	34.9	13.7	310	0.7	31	31.6	37	28.6	7.9	97	658	130	38	20.6	2.76	36	0.11	129	10	734	22.6	0.4	13.7	0	7.9	0	121.38	13.6	83.9	116.7	NA	NA	6B2AS	Burn	B2	B2A	0-3cm	6/20/2021	After	yes	NA	no
6B2BD	BDV34	3.019534746	4.8	5.5	0.06	39.9	704	13.8	4.1	174	0.9	10.5	11.3	9	5.5	3.8	49	429	169	44	7	1.2	21.8	0.16	71	8	405.6	42.5	0.4	4.1	0	3.8	0	39.08	9.2	21.2	59.3	NA	NA	6B2BD	Burn	B2	B2B	3-6cm	6/20/2021	After	yes	NA	no
6B2BS	BSV34	2.1992622	5	5.6	0.12	50.8	1656	22.3	5.1	236	0.6	19.4	19.9	25	17.6	7.7	68	489	141	42	16.5	1.71	35.4	0.15	95	10	700.3	46	0.3	5.1	0	7.7	0	88.04	7.5	58.3	81.5	NA	NA	6B2BS	Burn	B2	B2B	0-3cm	6/20/2021	After	yes	NA	no
6B3AD	BDV35	5.08529802	6.6	7.2	0.1	12.8	506	24	12.6	313	1.7	10.3	12	9	4.7	4.2	101	1011	275	51	9.6	0.55	18	0.21	118	8	161.7	24.8	1.1	12.6	0	4.2	0	32.82	14.8	20.4	121.3	NA	NA	6B3AD	Burn	B3	B3A	3-6cm	6/20/2021	After	yes	NA	no
6B3AS	BSV35	2.475744659	6.7	7.2	0.32	28.7	1928	54.4	22.6	583	4.7	25.5	30.1	37	27.1	9.6	108	1108	159	33	24.8	1.82	55.3	0.12	166	9	330.7	25.7	0.8	22.6	0	9.6	0	110.32	15.8	84.4	129	NA	NA	6B3AS	Burn	B3	B3A	0-3cm	6/20/2021	After	yes	NA	no
6B3BD	BDV36	27.34693576	6.4	6.3	0.06	16.3	554	19.1	11.4	217	1.3	5.7	7	4	1.4	2.2	96	865	299	43	5.5	0.21	9.1	0.13	67	9	255.8	19	1.6	11.4	0	2.2	0	33.17	11.1	8.3	114.8	NA	NA	6B3BD	Burn	B3	B3B	3-6cm	6/20/2021	After	yes	NA	no
6B3BS	BSV36	9.656360296	5.8	5.9	0.12	31.5	1116	44.8	17.7	466	5.7	28.3	33.9	8	4	4.3	95	905	225	40	10.1	0.67	26.4	0.11	102	9	239.7	26.3	0.5	17.7	0	4.3	0	66.89	15.5	19.1	113.8	NA	NA	6B3BS	Burn	B3	B3B	0-3cm	6/20/2021	After	yes	NA	no
6B4AD	UDV35	7.461873048	5.9	6.2	0.06	11.7	124	11.2	7.1	248	0.3	1.7	2	3	1	1.5	83	331	348	42	3.7	0.42	25.4	0.17	44	9	50.1	34.8	3.5	7.1	0	1.5	0	16	5.5	5.8	99.9	NA	NA	6B4AD	Burn	B4	B4A	3-6cm	6/20/2021	After	yes	NA	no
6B4AS	USV35	6.403797795	5.7	6.1	0.12	18.2	636	13.3	8	277	0.3	4.1	4.4	6	2.5	3.7	89	475	258	40	5.7	0.87	42	0.15	64	8	229.5	34.5	1.8	8	0	3.7	0	38.15	3.7	14.1	106.4	NA	NA	6B4AS	Burn	B4	B4A	0-3cm	6/20/2021	After	yes	NA	no
6B4BD	UDV36	8.387982892	5.7	6.1	0.08	20.8	834	15.9	8.3	244	0.4	6.2	6.7	4	1.2	2.7	74	568	252	46	4.4	0.54	25.6	0.18	76	8	342.1	29.4	1.2	8.3	0	2.7	0	47.4	9	8.9	89	NA	NA	6B4BD	Burn	B4	B4B	3-6cm	6/20/2021	After	yes	NA	no
6B4BS	USV36	6.244009601	5.4	6	0.13	20.7	978	19.9	10.5	332	0.3	9.1	9.5	5	1.8	3.2	74	537	225	44	5.8	0.7	40.5	0.2	59	9	295	31.6	1.1	10.5	0	3.2	0	56.58	6	11.5	88.5	NA	NA	6B4BS	Burn	B4	B4B	0-3cm	6/20/2021	After	yes	NA	no
6U1AD	UDV31	19.69357689	5.7	6	0.02	12.5	128	7.9	4.1	111	0.3	1.3	1.6	2	0.6	1.6	42	302	411	29	2	0.27	6.1	0.11	43	8	115	27	2.6	4.1	0	1.6	0	13.3	3.4	5.1	50.8	NA	NA	6U1AD	Control	U1	U1A	3-6cm	6/20/2021	After	no	NA	no
6U1AS	USV31	18.45543493	5.4	5.7	0.03	24.5	456	11.1	7.6	162	0.2	1.7	1.9	4	1.1	2.4	42	542	243	30	2.7	0.39	10.1	0.07	66	9	280.7	21.5	4	7.6	0	2.4	0	29.34	2.8	8.1	51	NA	NA	6U1AS	Control	U1	U1A	0-3cm	6/20/2021	After	no	NA	no
6U1BD	UDV32	21.36015646	5.4	5.8	0.02	15.5	340	9.9	6.1	148	0.2	1.6	1.9	2	0.8	1.4	57	276	344	36	2	0.4	8.5	0.16	49	7	230.4	24.2	3.3	6.1	0	1.4	0	24.81	4.8	5	68.7	NA	NA	6U1BD	Control	U1	U1B	3-6cm	6/20/2021	After	no	NA	no
6U1BS	USV32	18.73739948	5.3	5.7	0.04	28.4	932	17	7.8	288	0.2	1.8	2	5	1.6	3.3	84	565	233	30	3.5	0.79	18.6	0.13	81	8	324.1	36.8	3.9	7.8	0	3.3	0	53.13	2.9	11.2	101	NA	NA	6U1BS	Control	U1	U1B	0-3cm	6/20/2021	After	no	NA	no
6U2AD	UDV33	16.80571501	5.1	5.6	0.04	42.8	1464	19.4	15.4	288	0.3	2.5	2.8	4	1.6	2.8	59	464	160	37	4.4	1	28.7	0.11	57	8	508.4	18.7	5.6	15.4	0	2.8	0	80.5	10.9	10.2	71.2	NA	NA	6U2AD	Control	U2	U2A	3-6cm	6/20/2021	After	no	NA	no
6U2AS	USV33	13.08736766	4.8	5.6	0.04	64.7	1844	25	20.3	331	0.3	3.4	3.6	7	2.7	4.6	55	420	89	23	3.2	1.54	24.6	0.15	58	8	556.6	16.3	5.6	20.3	0	4.6	0	100.85	7.2	16.8	66.4	NA	NA	6U2AS	Control	U2	U2A	0-3cm	6/20/2021	After	no	NA	no
6U2BD	UDV34	35.08063807	5.1	5.5	0.03	53.8	1320	13.4	10.2	186	0.2	1	1.2	4	1.2	2.5	61	598	125	32	2.4	1.3	23.3	0.09	77	9	708.6	18.2	8.3	10.2	0	2.5	0	70.75	6.9	8.4	72.9	NA	NA	6U2BD	Control	U2	U2B	3-6cm	6/20/2021	After	no	NA	no
6U2BS	USV34	19.7676877	5.1	5.6	0.05	65	1772	11.7	9	216	0.2	1	1.2	5	1.6	3.2	59	528	98	24	2.7	1.74	26.1	0.1	72	8	821.6	24	7.6	9	0	3.2	0	93.81	3.1	11.2	71	NA	NA	6U2BS	Control	U2	U2B	0-3cm	6/20/2021	After	no	NA	no
